class,index,output,seed,prompt,frames,steps,guidance,size,lora_path,lora_scale
Clapping,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_00.mp4,1635105074,A teenager is clapping.,61,32,6.0,832x480,,
Clapping,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_01.mp4,266528389,A girl is clapping.,61,32,6.0,832x480,,
Clapping,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_02.mp4,2094085902,A student is clapping.,61,32,6.0,832x480,,
Clapping,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_03.mp4,1469209901,A student is clapping.,61,32,6.0,832x480,,
Clapping,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_04.mp4,1806555091,A girl is clapping.,61,32,6.0,832x480,,
Clapping,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_05.mp4,841049880,A teenager is clapping.,61,32,6.0,832x480,,
Clapping,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_06.mp4,1079957843,A student is clapping.,61,32,6.0,832x480,,
Clapping,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_07.mp4,1799193080,A student is clapping.,61,32,6.0,832x480,,
Clapping,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_08.mp4,322526552,A woman is clapping.,61,32,6.0,832x480,,
Clapping,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Clapping/clapping_09.mp4,1580561325,A girl is clapping.,61,32,6.0,832x480,,
Meet and Split,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_00.mp4,981580781,Two students meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_01.mp4,2099481790,Two friends meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_02.mp4,850151389,Two friends meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_03.mp4,979439893,Two strangers meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_04.mp4,1454935019,Two friends meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_05.mp4,766161298,Two students meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_06.mp4,1927705821,Two students meet briefly and then split apart.,61,32,6.0,832x480,,
